Reactions	Percentage
R568: C2H5+N=H2CN+CH3	-0.0014371329544089376
R569: CH+N=H+CN	-0.0015170854475641735
R500: HNO+N=NH+NO	-0.0020567764868699378
R476: NH2+NH=N+NH3	0.0025482705030373245
R462: NH+NH=N+NH2	0.003877555963178178
R457: N+O(+M)=NO(+M)	-0.004397210037808437
R643: NCN+H=N+HNC	0.012163824539164963
R461: NH+N=H+N2	-0.04285003949616469
R566: TXCH2+N=H+HCN	-0.06427773266751884
R478: NH2+N=H+H+N2	-0.08026340999676819
R614: NCO(+M)=CO+N(+M)	0.08144957591278199
R565: HCCO+N=CO+HCN	-0.19753353310979732
R641: NCN+H=N+HCN	0.25672369559155356
R460: NH+O=OH+N	2.2165135273594894
R567: CH3+N=H+H2CN	-2.445165478855226
R587: CN+O=N+CO	6.681370313852876
R497: N+NO=O+N2	-10.959512477071748
R465: NH+OH=H2O+N	16.70018968573589
R455: N+O2=O+NO	-17.33563040776059
R458: NH+H=H2+N	20.8918774533039
R456: N+OH=H+NO	-22.017925620359698
