Reactions	Percentage
R779: NH2+NH=H+N2H2	-0.002436482026744019
R769: NH2+NH2=NH+NH3	0.0038176834142669624
R771: NH2(+M)=H+NH(+M)	-0.0054949651246925
R933: HNCO+NH=NCO+NH2	0.006774889124770729
R792: NH+NO=OH+N2	-0.014007014959142467
R795: NH+NO=H+N2O	-0.05532817230637333
R759: NH+O=OH+N	-0.20795784932156777
R757: NH+H=H2+N	-0.45077696539918355
R782: NH2+H=H2+NH	0.6550050752373281
R764: NH+OH=H2O+N	-0.764911069816207
R900: HNC+O=CO+NH	1.0399599470579906
R925: HNCO+O=CO2+NH	1.6353923950593523
R766: NH+OH=H+HNO	-2.5314087300601162
R923: NCO+H=NH+CO	4.475723454628735
R765: NH+O=H+NO	-5.180128665038927
R892: HCN+O=CO+NH	7.18944810773808
R778: NH2+O=OH+NH	16.74575075722826
R780: NH2+OH=H2O+NH	17.13570064314004
R763: NH+O2=OH+NO	-19.540318411582682
R767: NH+O2=O+HNO	-22.357764631629728
