Reactions	Percentage
R638: N2+TXCH2=H2CN+N	-0.0013829652924382538
R500: HNO+N=NH+NO	-0.002261181574722392
R568: C2H5+N=H2CN+CH3	-0.0031736537084327537
R457: N+O(+M)=NO(+M)	-0.009824463576946024
R569: CH+N=H+CN	-0.047172839168531
R461: NH+N=H+N2	-0.11686589291203735
R478: NH2+N=H+H+N2	-0.1304400692819831
R565: HCCO+N=CO+HCN	-0.327482100793295
R566: TXCH2+N=H+HCN	-0.5320462701136288
R567: CH3+N=H+H2CN	-8.847871175808828
R497: N+NO=O+N2	-12.158385111529729
R455: N+O2=O+NO	-18.49841974933289
R456: N+OH=H+NO	-59.32409421296965
