Reactions	Percentage
R771: NH2(+M)=H+NH(+M)	-0.0033940734455888363
R939: NCN+OH=NH+NCO	0.008790958063522664
R827: NH+NO2=OH+N2O	0.014035323812487866
R759: NH+O=OH+N	-0.22530416215445478
R927: HNCO(+M)=NH+CO(+M)	0.2294427312421043
R900: HNC+O=CO+NH	0.37325986571401343
R844: NNH+O=NO+NH	0.44008007148783107
R782: NH2+H=H2+NH	0.5646718430991978
R778: NH2+O=OH+NH	0.8078709829076984
R757: NH+H=H2+N	-1.4718480653530703
R892: HCN+O=CO+NH	2.774831228254341
R792: NH+NO=OH+N2	3.3494620179138948
R764: NH+OH=H2O+N	-3.6026229501026
R765: NH+O=H+NO	-5.565263952373951
R763: NH+O2=OH+NO	-7.815129994694886
R780: NH2+OH=H2O+NH	8.401230149799465
R923: NCO+H=NH+CO	9.29583140559711
R925: HNCO+O=CO2+NH	9.900151922282681
R766: NH+OH=H+HNO	-10.407077811922969
R795: NH+NO=H+N2O	12.693562441146428
R767: NH+O2=O+HNO	-22.0559255575302
